source_desc,sector_desc,group_desc,commodity_desc,class_desc,prodn_practice_desc,util_practice_desc,statisticcat_desc,unit_desc,short_desc,domain_desc,domaincat_desc,agg_level_desc,state_ansi,state_fips_code,state_alpha,state_name,asd_code,asd_desc,county_ansi,county_code,county_name,region_desc,zip_5,watershed_code,watershed_desc,congr_district_code,country_code,country_name,location_desc,year,freq_desc,begin_code,end_code,reference_period_desc,week_ending,load_time,Value,CV (%)
CENSUS,ANIMALS & PRODUCTS,POULTRY,TURKEYS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,INVENTORY,HEAD,TURKEYS - INVENTORY,NAICS CLASSIFICATION,NAICS CLASSIFICATION: (11193 & 11194 & 11199),STATE,51,51,VA,VIRGINIA,,,,,,,,0,,,9000,UNITED STATES,VIRGINIA,2012,POINT IN TIME,12,12,END OF DEC,,2012-12-31 00:00:00,"1,610",65.2
CENSUS,ANIMALS & PRODUCTS,POULTRY,TURKEYS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,INVENTORY,HEAD,TURKEYS - INVENTORY,NAICS CLASSIFICATION,NAICS CLASSIFICATION: (112111),STATE,51,51,VA,VIRGINIA,,,,,,,,0,,,9000,UNITED STATES,VIRGINIA,2012,POINT IN TIME,12,12,END OF DEC,,2012-12-31 00:00:00,760,86.0
CENSUS,ANIMALS & PRODUCTS,POULTRY,TURKEYS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,INVENTORY,HEAD,TURKEYS - INVENTORY,NAICS CLASSIFICATION,NAICS CLASSIFICATION: (11212),STATE,51,51,VA,VIRGINIA,,,,,,,,0,,,9000,UNITED STATES,VIRGINIA,2012,POINT IN TIME,12,12,END OF DEC,,2012-12-31 00:00:00, (D),(D)
CENSUS,ANIMALS & PRODUCTS,POULTRY,TURKEYS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,INVENTORY,HEAD,TURKEYS - INVENTORY,NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1122),STATE,51,51,VA,VIRGINIA,,,,,,,,0,,,9000,UNITED STATES,VIRGINIA,2012,POINT IN TIME,12,12,END OF DEC,,2012-12-31 00:00:00,192,46.3
CENSUS,ANIMALS & PRODUCTS,POULTRY,TURKEYS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,INVENTORY,HEAD,TURKEYS - INVENTORY,NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1123),STATE,51,51,VA,VIRGINIA,,,,,,,,0,,,9000,UNITED STATES,VIRGINIA,2012,POINT IN TIME,12,12,END OF DEC,,2012-12-31 00:00:00,"5,074,077",4.3
CENSUS,ANIMALS & PRODUCTS,POULTRY,TURKEYS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,INVENTORY,HEAD,TURKEYS - INVENTORY,NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1124),STATE,51,51,VA,VIRGINIA,,,,,,,,0,,,9000,UNITED STATES,VIRGINIA,2012,POINT IN TIME,12,12,END OF DEC,,2012-12-31 00:00:00,311,26.3
CENSUS,ANIMALS & PRODUCTS,POULTRY,TURKEYS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,INVENTORY,HEAD,TURKEYS - INVENTORY,NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1125 & 1129),STATE,51,51,VA,VIRGINIA,,,,,,,,0,,,9000,UNITED STATES,VIRGINIA,2012,POINT IN TIME,12,12,END OF DEC,,2012-12-31 00:00:00,"34,837",4.0
CENSUS,ANIMALS & PRODUCTS,POULTRY,TURKEYS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,INVENTORY,HEAD,TURKEYS - INVENTORY,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,20.0,NORTHERN,43.0,43.0,CLARKE,,,0,,,9000,UNITED STATES,"VIRGINIA, NORTHERN, CLARKE",2012,POINT IN TIME,12,12,END OF DEC,,2012-12-31 00:00:00,34,4.2
CENSUS,ANIMALS & PRODUCTS,POULTRY,TURKEYS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,INVENTORY,HEAD,TURKEYS - INVENTORY,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,20.0,NORTHERN,43.0,43.0,CLARKE,,,0,,,9000,UNITED STATES,"VIRGINIA, NORTHERN, CLARKE",2007,POINT IN TIME,12,12,END OF DEC,,2012-01-01 00:00:00,28,
CENSUS,ANIMALS & PRODUCTS,POULTRY,TURKEYS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,INVENTORY,HEAD,TURKEYS - INVENTORY,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,20.0,NORTHERN,43.0,43.0,CLARKE,,,0,,,9000,UNITED STATES,"VIRGINIA, NORTHERN, CLARKE",2002,POINT IN TIME,12,12,END OF DEC,,2012-01-01 00:00:00,3,
